Rs,Qs,Ns
31185;when standing its around 7ft ,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
26812;or st bernard ,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
"29838;no, irish wolfhound. I was crazy about dogs when I was a little ",How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
34534;but for the world record ,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
34534;the dog has tp push ,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
36430;too bad its not what kind of dog ,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
34534;6 foot ,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
31185;great dane ,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
31804;great danes are probably close to 60 inches....but world record.... ,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
34148;id say like 75 inches ,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
31804;yeah 6 ft ,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
26812;my grandma had a great dane and i could look it in the eyes when i was little ,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
34534;but i dont think theres a 8 foot dog ,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
36430;this is probably from ground though ,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
36430;,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
26812;so i was prob like 4 ft tall? ,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
36430;so more like 50 ,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
26812;8 ft hot dog maybe ,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
29838;I have a great dane at home.. not the tallest dog. biggest maybe ,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
36430;,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
"34534;so is it standing, or on 4 feet? ",How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
29838;maybe standing.. 'cause it's &quot;ever&quot; ,How tall is the tallest dog ever in inches? (1 cm ~ 0.394 inches),7
26812;lalalalala ,What percentage of the U.S. land does Texas occupy?,10
27391;10 percent ,What percentage of the U.S. land does Texas occupy?,10
26812;cool ,What percentage of the U.S. land does Texas occupy?,10
27391;? ,What percentage of the U.S. land does Texas occupy?,10
36430;shweet ,What percentage of the U.S. land does Texas occupy?,10
34534;7? ,What percentage of the U.S. land does Texas occupy?,10
34148;i believe it ,What percentage of the U.S. land does Texas occupy?,10
29838;really? alaska is more than 20%? ,What percentage of the U.S. land does Texas occupy?,10
31804;10 sounds pretty good ,What percentage of the U.S. land does Texas occupy?,10
26812;probs ,What percentage of the U.S. land does Texas occupy?,10
34534;texas that huge? ,What percentage of the U.S. land does Texas occupy?,10
31185;10 sounds good ,What percentage of the U.S. land does Texas occupy?,10
26812;texas is big ,What percentage of the U.S. land does Texas occupy?,10
36430;XD ,What percentage of the U.S. land does Texas occupy?,10
29838;alaska is more than twice the size of texas.... wow. ,What percentage of the U.S. land does Texas occupy?,10
26812;like everything there ,What percentage of the U.S. land does Texas occupy?,10
36430;&gt;&lt; ,What percentage of the U.S. land does Texas occupy?,10
27391;,What percentage of the U.S. land does Texas occupy?,10
31804;maybe a little lower then...8?,What percentage of the U.S. land does Texas occupy?,10
34766;,What percentage of the U.S. land does Texas occupy?,10
27391;that workds ,What percentage of the U.S. land does Texas occupy?,10
31185;8 it is ,What percentage of the U.S. land does Texas occupy?,10
"34534;so who hitting up the dollar menu after this, blow our money fast ",What percentage of the U.S. land does Texas occupy?,10
36430;idk guys ,What percentage of the U.S. land does Texas occupy?,10
29838;I hope they all pay us more because it's past 3 pm ,What percentage of the U.S. land does Texas occupy?,10
36430;could be 9 ,What percentage of the U.S. land does Texas occupy?,10
36430;,What percentage of the U.S. land does Texas occupy?,10
34766;,What percentage of the U.S. land does Texas occupy?,10
27391;,What percentage of the U.S. land does Texas occupy?,10
36430;who knows this ,What percentage of Americans was not medically insured in 2010?,9
29838;I said 20 and I have no idea ,What percentage of Americans was not medically insured in 2010?,9
34534;where is obama when i need him ,What percentage of Americans was not medically insured in 2010?,9
34534;i want to say more than 2/3 ,What percentage of Americans was not medically insured in 2010?,9
26812;20 might be our avg guess ,What percentage of Americans was not medically insured in 2010?,9
36430;theres gotta be some healthcare yuppie in here ,What percentage of Americans was not medically insured in 2010?,9
34534;hence the health care crisis ,What percentage of Americans was not medically insured in 2010?,9
27391;its definitely not 2/3 ,What percentage of Americans was not medically insured in 2010?,9
36430;probably 1/3 ,What percentage of Americans was not medically insured in 2010?,9
31185;less than 1/3 ,What percentage of Americans was not medically insured in 2010?,9
29838;is 2010 before obama? ,What percentage of Americans was not medically insured in 2010?,9
36430;no ,What percentage of Americans was not medically insured in 2010?,9
26812;no... ,What percentage of Americans was not medically insured in 2010?,9
31185;so may be 20-25? ,What percentage of Americans was not medically insured in 2010?,9
36430;midbama ,What percentage of Americans was not medically insured in 2010?,9
31804;,What percentage of Americans was not medically insured in 2010?,9
34766;,What percentage of Americans was not medically insured in 2010?,9
27391;before the new bill pased ,What percentage of Americans was not medically insured in 2010?,9
,What percentage of Americans was not medically insured in 2010?,9
29838;ok. hope you're not judging me for not knowing ,What percentage of Americans was not medically insured in 2010?,9
36430;we are ,What percentage of Americans was not medically insured in 2010?,9
29838;lol ,What percentage of Americans was not medically insured in 2010?,9
34534;health care is expensive for indiviudals ,What percentage of Americans was not medically insured in 2010?,9
34534;and a lot of jobns ,What percentage of Americans was not medically insured in 2010?,9
34534;dont offer it ,What percentage of Americans was not medically insured in 2010?,9
31804;oh yeah before new one...so lots of 22-26 year olds without it....,What percentage of Americans was not medically insured in 2010?,9
34766;,What percentage of Americans was not medically insured in 2010?,9
36430;,What percentage of Americans was not medically insured in 2010?,9
,What percentage of Americans was not medically insured in 2010?,9
34534;plus ,What percentage of Americans was not medically insured in 2010?,9
34681;Looks like a lot of people agree that it's around 50 ,What is the divorce rate in America for first marriages?,15
30973;i'm pretty sure that I have read numerous times that half of the population get divorced ,What is the divorce rate in America for first marriages?,15
34776;50 percent is just the most common thing I have heard and read ,What is the divorce rate in America for first marriages?,15
20720;Yea definitely thinking 50 ,What is the divorce rate in America for first marriages?,15
34693;I agree ,What is the divorce rate in America for first marriages?,15
34308;i'll go with that ,What is the divorce rate in America for first marriages?,15
34712;I think thats a good estimate ,What is the divorce rate in America for first marriages?,15
20720;everybody! ,What is the divorce rate in America for first marriages?,15
"30029;I agree, 50% ",What is the divorce rate in America for first marriages?,15
"34776;30s, 40s, what do you think? ",What is the divorce rate in America for first marriages?,15
34681;,What is the divorce rate in America for first marriages?,15
20720;ooo 30% eh? ,What percentage of Americans was not medically insured in 2010?,9
34693;is anyone a heathcare expert? ,What percentage of Americans was not medically insured in 2010?,9
34712;Talk about bimodal distributions ,What percentage of Americans was not medically insured in 2010?,9
34308;looks like it  ,What percentage of Americans was not medically insured in 2010?,9
34712;haha ,What percentage of Americans was not medically insured in 2010?,9
30029;I'm pretty sure I read that 7 or so million people were uninsured? ,What percentage of Americans was not medically insured in 2010?,9
"30973;i guessed 30%, very unsure ",What percentage of Americans was not medically insured in 2010?,9
20720;whats the current population ,What percentage of Americans was not medically insured in 2010?,9
34693;US pop is 300 million.. ,What percentage of Americans was not medically insured in 2010?,9
30029;that's way less than 30% of the population of the United states ,What percentage of Americans was not medically insured in 2010?,9
34308;mine was also a guess  ,What percentage of Americans was not medically insured in 2010?,9
34776;I was just guessing 30 - I think it is defnitely less than 50 ,What percentage of Americans was not medically insured in 2010?,9
34712;300 million ,What percentage of Americans was not medically insured in 2010?,9
"34588;yeah me too,  guessed 30 but not an expert  ",What percentage of Americans was not medically insured in 2010?,9
20720;then thats wayyy less than 30 ,What percentage of Americans was not medically insured in 2010?,9
30029;the population is 320 million ,What percentage of Americans was not medically insured in 2010?,9
34712;i think it should be between 10 and 20 ,What percentage of Americans was not medically insured in 2010?,9
30973;15%? ,What percentage of Americans was not medically insured in 2010?,9
34681;i remember reading that the ACA would mean an increase in 30 million people having insurance (~15%) ,What percentage of Americans was not medically insured in 2010?,9
20720;ooo ,What percentage of Americans was not medically insured in 2010?,9
34776;30 does seem a little high ,What percentage of Americans was not medically insured in 2010?,9
34776;but m,What percentage of Americans was not medically insured in 2010?,9
20720;15% sounds resonable ,What percentage of Americans was not medically insured in 2010?,9
,What percentage of Americans was not medically insured in 2010?,9
34776;but maybe that is just the sad state of affairs ,What percentage of Americans was not medically insured in 2010?,9
34308;not higher?  ,What percentage of Americans was not medically insured in 2010?,9
34776;20 seems reasonable ,What percentage of Americans was not medically insured in 2010?,9
34776;,What percentage of Americans was not medically insured in 2010?,9
34681;,What percentage of Americans was not medically insured in 2010?,9
30029;i think 20 is ok ,What percentage of Americans was not medically insured in 2010?,9
30029;seems reasonable enough or so ,What percentage of Americans was not medically insured in 2010?,9
30973;is anyone sure of their answer? ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34776;the country is 3000 miles across and about 1000 up and down ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34712;east to west coast is roughly 3000 miles.  ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34693;it has to be in the tens of millions ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34712;and  ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34712;north south corridor from nj to fl is about 1100 miles ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34776;so square miles is just 3000 x 1000 ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34776;plus some I guess for Alaska and Hawaii ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34712;but you have to go north of nj too ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
20720;6000000 plus alaska ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
30029;philly texas is 2 thousand ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34712;but the US is not a square f,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34776;,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34588;,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34776;it is an estimate ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34693;ballpark? ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34712;fl is also way south of most of hte southern statesw ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
20720;8 mill  ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34712;40-50 million ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34308;woah.  ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
30029;uh ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34308;difference ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34776;i say 10 million ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34712;or whatever 3000 x 1500 is ,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
34776;,What is the total area of the U.S. in square miles? (1 cm ~ 0.394 inches),1
20720;3000? ,What percentage of the U.S. land does Texas occupy?,10
20720;seriously now? ,What percentage of the U.S. land does Texas occupy?,10
30029;lolz ,What percentage of the U.S. land does Texas occupy?,10
34308;ferreal? ,What percentage of the U.S. land does Texas occupy?,10
30029;troll ,What percentage of the U.S. land does Texas occupy?,10
34712;lol ,What percentage of the U.S. land does Texas occupy?,10
30029;ok it's less than 10 ,What percentage of the U.S. land does Texas occupy?,10
20720;yo other 8 ,What percentage of the U.S. land does Texas occupy?,10
34693;haha ok so 7-10 %? ,What percentage of the U.S. land does Texas occupy?,10
20720;you know it ,What percentage of the U.S. land does Texas occupy?,10
"34681;so, i'm thinking like maybe 1/20 of the total land mass ",What percentage of the U.S. land does Texas occupy?,10
30973;yo ,What percentage of the U.S. land does Texas occupy?,10
34588;haha i didnt read the question right oops  ,What percentage of the U.S. land does Texas occupy?,10
34712;haha ,What percentage of the U.S. land does Texas occupy?,10
34776;it is pretty big down there! ,What percentage of the U.S. land does Texas occupy?,10
30973;im thinkin 8 ,What percentage of the U.S. land does Texas occupy?,10
30029;i would say 8 ,What percentage of the U.S. land does Texas occupy?,10
34308;so somewhere between 7-10? ,What percentage of the U.S. land does Texas occupy?,10
20720;...is what she said ,What percentage of the U.S. land does Texas occupy?,10
34308;... ,What percentage of the U.S. land does Texas occupy?,10
34712;what is the probability you are really pissed at your geography teacher right now ,What percentage of the U.S. land does Texas occupy?,10
20720;100000 ,What percentage of the U.S. land does Texas occupy?,10
30973;i never learned geog ,What percentage of the U.S. land does Texas occupy?,10
34712;lol ,What percentage of the U.S. land does Texas occupy?,10
"34776;great, 8 it is ",What percentage of the U.S. land does Texas occupy?,10
34776;,What percentage of the U.S. land does Texas occupy?,10
30029;,What percentage of the U.S. land does Texas occupy?,10
34308;i'll go with that ,What percentage of the U.S. land does Texas occupy?,10
20720;8 ,What percentage of the U.S. land does Texas occupy?,10
34681;good deal ,What percentage of the U.S. land does Texas occupy?,10
34712;yup ,What percentage of the U.S. land does Texas occupy?,10
34776;,What percentage of the U.S. land does Texas occupy?,10
30029;,What percentage of the U.S. land does Texas occupy?,10
34681;,What percentage of the U.S. land does Texas occupy?,10
30973;big range.. ,What percentage of Americans has a pet?,16
34712;50? ,What percentage of Americans has a pet?,16
30029;30? ,What percentage of Americans has a pet?,16
20720;50's!!! ,What percentage of Americans has a pet?,16
34308;i'm thinking definitely higher than 30 though ,What percentage of Americans has a pet?,16
34776;I don't think it is as high as it might seem ,What percentage of Americans has a pet?,16
34681;i agree with that ,What percentage of Americans has a pet?,16
30973;id say around 40 or 50? ,What percentage of Americans has a pet?,16
30029;i would say 65% or so? ,What percentage of Americans has a pet?,16
30029;it says pet ,What percentage of Americans has a pet?,16
34308;i feel like 50 or higher ,What percentage of Americans has a pet?,16
34712;true ,What percentage of Americans has a pet?,16
20720;65? nah ,What percentage of Americans has a pet?,16
34776;no way ,What percentage of Americans has a pet?,16
"30029;that includes dogs, cats, fish, tigers ",What percentage of Americans has a pet?,16
"30973;what about homeless people, college students,  ",What percentage of Americans has a pet?,16
34776;less than 50 ,What percentage of Americans has a pet?,16
34308;birds ,What percentage of Americans has a pet?,16
34712;it can include everything thought ,What percentage of Americans has a pet?,16
20720;dude i hate animals ,What percentage of Americans has a pet?,16
34712;person has a point ,What percentage of Americans has a pet?,16
34308;irrelevant  ,What percentage of Americans has a pet?,16
34776;i say no more than 30 ,What percentage of Americans has a pet?,16
30973;45? ,What percentage of Americans has a pet?,16
20720;50 ,What percentage of Americans has a pet?,16
34712;50 ,What percentage of Americans has a pet?,16
30973;25?,What percentage of Americans has a pet?,16
34588;,What percentage of Americans has a pet?,16
34776;,What percentage of Americans has a pet?,16
34693;I think most families have one.. ,What percentage of Americans has a pet?,16
34308;40? ,What percentage of Americans has a pet?,16
34693;so higher ,What percentage of Americans has a pet?,16
34776;no way! ,What percentage of Americans has a pet?,16
30973;mine didnt ,What percentage of Americans has a pet?,16
20720;40-50 ,What percentage of Americans has a pet?,16
34588;50  ,What percentage of Americans has a pet?,16
20720;neither did mine ,What percentage of Americans has a pet?,16
34776;some families ,What percentage of Americans has a pet?,16
30973;40 ,What percentage of Americans has a pet?,16
30029;i say 60% ,What percentage of Americans has a pet?,16
34681;35 ,What percentage of Americans has a pet?,16
30973;45 ,What percentage of Americans has a pet?,16
20720;total fail ,What percentage of Americans has a pet?,16
34308;50 ,What percentage of Americans has a pet?,16
30029;,What percentage of Americans has a pet?,16
34681;,What percentage of Americans has a pet?,16
34588;,What percentage of Americans has a pet?,16
30973;,What percentage of Americans has a pet?,16
34712;i cant imagine more htan half the population has a pet ,What percentage of Americans has a pet?,16
34693;definitely not above 5% ,What was the inflation rate in the U.S. in March 2012?,11
30973;uh ,What was the inflation rate in the U.S. in March 2012?,11
30029;so whats inflationj ,What was the inflation rate in the U.S. in March 2012?,11
34681;any econ majors here? ,What was the inflation rate in the U.S. in March 2012?,11
20720;anything larger than 3 is crap ,What was the inflation rate in the U.S. in March 2012?,11
34712;LOL ,What was the inflation rate in the U.S. in March 2012?,11
34693;yes ,What was the inflation rate in the U.S. in March 2012?,11
34308;does anyone have a real idea?  ,What was the inflation rate in the U.S. in March 2012?,11
34776;it is probably under 1 ,What was the inflation rate in the U.S. in March 2012?,11
30029;is that like obesity ,What was the inflation rate in the U.S. in March 2012?,11
20720;this is the USA not greece ,What was the inflation rate in the U.S. in March 2012?,11
34308;... ,What was the inflation rate in the U.S. in March 2012?,11
34693;it has to be between 2-4 ,What was the inflation rate in the U.S. in March 2012?,11
34776;inflation in one month isn't too big ,What was the inflation rate in the U.S. in March 2012?,11
34693;inflation is the rate at which prices increase ,What was the inflation rate in the U.S. in March 2012?,11
34712;are you sure? taco bell got a hell of a lot more expensive compared to last hyear ,What was the inflation rate in the U.S. in March 2012?,11
34776;over the course of years it is only 2-3 ,What was the inflation rate in the U.S. in March 2012?,11
20720;i like the 1.8  ,What was the inflation rate in the U.S. in March 2012?,11
34308;so per month?  ,What was the inflation rate in the U.S. in March 2012?,11
20720;nice one ,What was the inflation rate in the U.S. in March 2012?,11
34712;fuck taco bell ,What was the inflation rate in the U.S. in March 2012?,11
20720;MICKEY D'S ,What was the inflation rate in the U.S. in March 2012?,11
"34681;no, it's adjusted as an annual rate ",What was the inflation rate in the U.S. in March 2012?,11
30973;1.8%? ,What was the inflation rate in the U.S. in March 2012?,11
34712;2? ,What was the inflation rate in the U.S. in March 2012?,11
34776;too high i think ,What was the inflation rate in the U.S. in March 2012?,11
30029;idk ,What was the inflation rate in the U.S. in March 2012?,11
34693;id say ,What was the inflation rate in the U.S. in March 2012?,11
34776;,What was the inflation rate in the U.S. in March 2012?,11
30973;,What was the inflation rate in the U.S. in March 2012?,11
20720;i say between 1-1.8 ,What was the inflation rate in the U.S. in March 2012?,11
34693;2-3 ,What was the inflation rate in the U.S. in March 2012?,11
34681;,What was the inflation rate in the U.S. in March 2012?,11
34776;.08 ,What was the inflation rate in the U.S. in March 2012?,11
30029;frogro is pretty expensive ,What was the inflation rate in the U.S. in March 2012?,11
20720;from ze wharton classes ,What was the inflation rate in the U.S. in March 2012?,11
34588;2-3 ,What was the inflation rate in the U.S. in March 2012?,11
30973;1.7 ,What was the inflation rate in the U.S. in March 2012?,11
30029;im going to say 2 ,What was the inflation rate in the U.S. in March 2012?,11
34712;how much is tuition increasing by? ,What was the inflation rate in the U.S. in March 2012?,11
20720;fine ,What was the inflation rate in the U.S. in March 2012?,11
20720;1.7 ,What was the inflation rate in the U.S. in March 2012?,11
34712;break that in half ,What was the inflation rate in the U.S. in March 2012?,11
34693;,What was the inflation rate in the U.S. in March 2012?,11
34588;,What was the inflation rate in the U.S. in March 2012?,11
30029;2+/,What was the inflation rate in the U.S. in March 2012?,11
30973;,What was the inflation rate in the U.S. in March 2012?,11
30973;20? ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
20720;i'm the high one here ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
30029;so guy in the white coat ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34776;20 it seems ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34308;it should be pretty high  ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34712;LOL ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
30029;lolz ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
"34681;that was me, the 20% ","What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
20720;hahaha ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34712;LOL ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34712;me too ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34712;i feel smart  ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34681;i m,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
20720;20 it is ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34308;yep ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
30973;swett ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34776;done ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34588;yeah  ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34712;like really smart ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
20720;$$$ ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34712;im blushing ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34712;as hell \,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
30029;just sayin' ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
"34681;i'm not 100% sure, but i think it's right around there. ","What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
20720;so... ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
30029;20 ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34681;we were all pretty consistent ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34712;yeah ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34776;gooooooooooooooooooooo team ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
20720;what else is there to talk about now? ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
30029;,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
30973;n,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34693;,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34681;,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34776;,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
20720;30 seconds ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34681;how bout them phillies? ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34776;29 ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
30973;nice weather.. ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34776;28 ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34712;eh ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
30029;laterz ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
20720;party at my house ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34712;LOL ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34308;byo? ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
30973;,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34588;,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
30029;,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34693;,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34776;to celebrate heart di,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
30029;byob ,"What percentage of the deaths in the U.S. was caused by heart disease (e.g., heart attacks, strokes) in 2008?",13
34693;kanye west ,What's the length of the world's longest music video in minutes by 2010?,2
34308;yo ferreal?  ,What's the length of the world's longest music video in minutes by 2010?,2
20720;10000? ,What's the length of the world's longest music video in minutes by 2010?,2
34693;just syaing ,What's the length of the world's longest music video in minutes by 2010?,2
20720;c'monnnn ,What's the length of the world's longest music video in minutes by 2010?,2
30029;how long is katy perrys new movie ,What's the length of the world's longest music video in minutes by 2010?,2
34712;actually ,What's the length of the world's longest music video in minutes by 2010?,2
30973;jokes ,What's the length of the world's longest music video in minutes by 2010?,2
34776;it's gotta be something random ,What's the length of the world's longest music video in minutes by 2010?,2
34693;2010 though ,What's the length of the world's longest music video in minutes by 2010?,2
34712;there are tons of youtube vids with a million repeats ,What's the length of the world's longest music video in minutes by 2010?,2
20720;42 minutes was back in 2006 ,What's the length of the world's longest music video in minutes by 2010?,2
30029;sheet ,What's the length of the world's longest music video in minutes by 2010?,2
30973;stairway to heaven was long ,What's the length of the world's longest music video in minutes by 2010?,2
34308;i can't imagine watching a hour long music video ,What's the length of the world's longest music video in minutes by 2010?,2
34681;there are some crazy long songs by scandanavian people ,What's the length of the world's longest music video in minutes by 2010?,2
20720;random fact that i read somewhere ,What's the length of the world's longest music video in minutes by 2010?,2
20720;so i dunno if that increased ,What's the length of the world's longest music video in minutes by 2010?,2
"34776;yeah, it isn't an mtv type video i'm sure ",What's the length of the world's longest music video in minutes by 2010?,2
34712;consensus? ,What's the length of the world's longest music video in minutes by 2010?,2
30973;does anyone have a real idea? ,What's the length of the world's longest music video in minutes by 2010?,2
34693;over 40 minutes ,What's the length of the world's longest music video in minutes by 2010?,2
20720;hi 45! ,What's the length of the world's longest music video in minutes by 2010?,2
30029;pretty sure there have been some half hour movies ,What's the length of the world's longest music video in minutes by 2010?,2
30973;43 ,What's the length of the world's longest music video in minutes by 2010?,2
30029;er music videos ,What's the length of the world's longest music video in minutes by 2010?,2
20720;43 i think ,What's the length of the world's longest music video in minutes by 2010?,2
34776;there is a video playing on the side of a building in dc that is over an hour ,What's the length of the world's longest music video in minutes by 2010?,2
30973;43 ,What's the length of the world's longest music video in minutes by 2010?,2
30029;i say between 30 and 60 ,What's the length of the world's longest music video in minutes by 2010?,2
34681;i agree. like MJ's t,What's the length of the world's longest music video in minutes by 2010?,2
34693;,What's the length of the world's longest music video in minutes by 2010?,2
30973;,What's the length of the world's longest music video in minutes by 2010?,2
30029;so 4,What's the length of the world's longest music video in minutes by 2010?,2
34776;,What's the length of the world's longest music video in minutes by 2010?,2
30029;5 ,What's the length of the world's longest music video in minutes by 2010?,2
34308;45 sounds okay  ,What's the length of the world's longest music video in minutes by 2010?,2
30029;MJ's was long or something ,What's the length of the world's longest music video in minutes by 2010?,2
34681;hriller was really longh ,What's the length of the world's longest music video in minutes by 2010?,2
20720;lets do itttt ,What's the length of the world's longest music video in minutes by 2010?,2
